replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
17,harmony,0.4,B_ASC,1064,1091,0.9344703770197487,0.9783834586466166
17,harmony,0.6,B_CONV,119256,119229,0.9993712273641852,0.9995723485610787
17,harmony,0.6,B_ASC,1064,1091,0.9327354260089686,0.9774436090225563
17,harmony,0.8,B_CONV,119256,119217,0.9992706237424547,0.9994717246930972
17,harmony,0.8,B_ASC,1064,1103,0.9228039041703638,0.9774436090225563
17,unintegrated,0.4,B_CONV,119256,119368,0.9989779933485796,0.9999580733883411
17,unintegrated,0.4,B_ASC,1064,952,0.8858746492048644,0.8900375939849624
17,unintegrated,0.6,B_CONV,119256,119368,0.9989779933485796,0.9999580733883411
17,unintegrated,0.6,B_ASC,1064,952,0.8858746492048644,0.8900375939849624
17,unintegrated,0.8,B_CONV,119256,119368,0.9989779933485796,0.9999580733883411
17,unintegrated,0.8,B_ASC,1064,952,0.8858746492048644,0.8900375939849624
18,harmony,0.4,B_CONV,119269,119244,0.9993880613279907,0.999589163990643
18,harmony,0.4,B_ASC,1051,1076,0.9336363636363636,0.9771646051379639
18,harmony,0.6,B_CONV,119269,119230,0.9993377427927135,0.9995053199071008
18,harmony,0.6,B_ASC,1051,1090,0.9288288288288288,0.9809705042816366
18,harmony,0.8,B_CONV,119269,119228,0.9993209767874658,0.9994885510903923
18,harmony,0.8,B_ASC,1051,1092,0.927158273381295,0.9809705042816366
18,unintegrated,0.4,B_CONV,119269,119376,0.9990199445472898,0.9999580779582289
18,unintegrated,0.4,B_ASC,1051,944,0.8892045454545454,0.8934348239771646
18,unintegrated,0.6,B_CONV,119269,119375,0.999028312950243,0.9999580779582289
18,unintegrated,0.6,B_ASC,1051,945,0.8901515151515151,0.8943862987630827
18,unintegrated,0.8,B_CONV,119269,119375,0.999028312950243,0.9999580779582289
18,unintegrated,0.8,B_ASC,1051,945,0.8901515151515151,0.8943862987630827
19,harmony,0.4,B_CONV,119283,119257,0.9993294778308608,0.9995556785124452
19,harmony,0.4,B_ASC,1037,1063,0.926605504587156,0.973963355834137
19,harmony,0.6,B_CONV,119283,119266,0.9993713960037549,0.9996143624824996
19,harmony,0.6,B_ASC,1037,1054,0.9307479224376731,0.9720347155255545
19,harmony,0.8,B_CONV,119283,119251,0.9992791886681753,0.9995053779666843
19,harmony,0.8,B_ASC,1037,1069,0.9215328467153284,0.973963355834137
19,unintegrated,0.4,B_CONV,119283,119375,0.9989948822755865,0.9998826320598911
19,unintegrated,0.4,B_ASC,1037,945,0.8858230256898192,0.8977820636451301
19,unintegrated,0.6,B_CONV,119283,119375,0.9989948822755865,0.9998826320598911
19,unintegrated,0.6,B_ASC,1037,945,0.8858230256898192,0.8977820636451301
19,unintegrated,0.8,B_CONV,119283,119375,0.9989948822755865,0.9998826320598911
19,unintegrated,0.8,B_ASC,1037,945,0.8858230256898192,0.8977820636451301
20,harmony,0.4,B_CONV,119276,119269,0.9993546278214079,0.9996478755156109
20,harmony,0.4,B_ASC,1044,1051,0.929097605893186,0.9664750957854407
20,harmony,0.6,B_CONV,119276,119262,0.9993127147766323,0.9995975720178409
20,harmony,0.6,B_ASC,1044,1058,0.924908424908425,0.9674329501915708
20,harmony,0.8,B_CONV,119276,119259,0.9993043274187194,0.999580804185251
20,harmony,0.8,B_ASC,1044,1061,0.9241316270566727,0.9683908045977011
20,unintegrated,0.4,B_CONV,119276,119386,0.9990116425161236,0.9999664643348201
20,unintegrated,0.4,B_ASC,1044,934,0.8874045801526718,0.8908045977011494
20,unintegrated,0.6,B_CONV,119276,119386,0.9990116425161236,0.9999664643348201
20,unintegrated,0.6,B_ASC,1044,934,0.8874045801526718,0.8908045977011494
20,unintegrated,0.8,B_CONV,119276,119369,0.9989864553579655,0.9998826251718703
20,unintegrated,0.8,B_ASC,1044,951,0.8856332703213611,0.8975095785440613
