model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
227,SESN1,3.4644773,0.15118858,0.084811635,0.026027171
228,AK9,3.2032647,2.3886828,0.07145556,0.06726424
229,TSPYL1,3.4867322,-0.17942551,0.18222326,0.12787329
230,PTPRK,3.4119895,0.15301749,0.04159805,0.00396396
231,EPB41L2,3.2701945,-0.26276076,0.080897644,0.051710844
232,AKAP7,3.1764739,-0.6998357,0.052876614,0.022132881
233,LINC01013,2.9301531,0.015023017,0.036131937,0.002288822
234,STX7,3.9616964,-3.3497317,0.47500867,0.20758328
235,CITED2,3.2390628,-2.5674644,0.10740104,0.46596622
236,SNX9,2.9168253,0.7474464,0.10489807,0.04061958
237,TAGAP,3.4393249,-0.71749157,0.31180412,0.13173783
238,ACTB,5.620542,-0.75674015,2.859191,2.985274
239,ARL4A,3.5648673,0.22005822,0.40243796,0.15877351
240,TSPAN13,3.7520626,-1.2480621,0.32287255,0.107643
241,HDAC9,3.0182397,1.196862,0.13007148,0.10734868
242,CDCA7L,3.283687,-0.90042955,0.28179538,0.15593174
243,IL6,3.9659195,-0.04035772,0.056948476,0.008830829
244,SNX10,3.6439853,0.4259152,0.245362,0.093035705
245,RP9,3.0163913,0.29985014,0.107949615,0.07746622
246,CDK13,3.0145464,0.31544834,0.10521293,0.069677114
247,SUGCT,3.3799326,-0.5121887,0.005987863,0.0027633987
248,STK17A,3.6622958,-0.44893745,0.5314885,0.27573436
249,COA1,3.3489397,0.48459256,0.14996153,0.22751583
250,ZNF107,3.5232596,-0.38836944,0.08315102,0.041737515
251,ZNF92,3.1144395,-0.8181556,0.15757783,0.1382475
252,TPST1,2.870894,-0.053949893,0.02298978,0.003079873
253,AUTS2,3.0163913,-1.1706829,0.027387867,0.007813555
254,HSPB1,4.5551143,-0.6304709,0.21674183,0.116562046
255,ABCB4,2.997206,-0.09119884,0.082531735,0.01212214
256,ABCB1,2.8654125,-0.18949613,0.01864193,0.014298342
257,DBF4,3.0755208,0.14453384,0.11763885,0.21020235
258,AKAP9,3.6622958,1.1859144,0.3769467,0.6474224
259,SAMD9,3.3722007,-0.8925123,0.2472831,0.28323507
260,SAMD9L,3.594176,-1.8831729,0.22968404,0.45187068
261,GNG11,3.2544978,-0.3191324,0.09221474,0.108708374
262,PEG10,3.1853178,-0.4916495,0.041006647,0.011427451
263,PDK4,2.925132,-0.45891967,0.004715559,0.00505313
264,STAG3,3.8731942,-1.0959191,0.15639794,0.018400267
265,ZCWPW1,2.8693242,-0.21449798,0.057837334,0.019471671
266,KMT2E-AS1,3.5042973,1.4325247,0.11494039,0.14992703
267,CDHR3,2.7934585,0.30440694,0.014244896,0.011437638
268,THAP5,3.031286,-0.46732974,0.0671986,0.09654039
269,IFRD1,3.6218784,-0.307265,0.23992541,0.1751748
270,FAM3C,3.5442421,0.08580568,0.25501886,0.41572306
271,OR2A1-AS1,3.023808,-0.24234034,0.028293677,0.021344358
272,TPK1,3.031286,-0.60591024,0.04312661,0.05357856
273,CNTNAP2,3.0821135,-2.086592,0.07240306,0.009985556
274,PDIA4,3.9744215,6.7078657,0.082157426,1.7120236
275,LINC00685,3.125127,0.7479011,0.034860633,0.011315918
276,IL3RA,2.9436815,-1.098313,0.013375887,0.009522461
277,WWC3,3.0182397,-0.5251903,0.04375846,0.031872615
278,CLCN4,2.9036925,1.3692924,0.018376095,0.006436268
279,TMSB4X,6.47926,-2.6283383,4.596626,4.29409
