metric,observed,threshold,pass,panel,record_type,replicate,reference_state,reference_cells,mapped_cells,intersection,union,false_negative,false_positive,jaccard,recall,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite,n_samples,effect,se_hc3,statistic,df
Median mapped ARI,0.9629724043729124,0.95,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum mapped ARI,0.929696806592458,0.9,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median agreement,0.9993683510638296,0.995,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum agreement,0.9987699468085106,0.99,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minimum state
median Jaccard",0.9303233364573572,0.95,False,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,d,composition_propagation,7.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0536018822903507,0.947809371094962,0.6369040325931675,1.4104834605581114,0.7915655347439596,True,True,,,,,
,,,,d,composition_propagation,8.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0504891220139522,0.9507642710165496,0.6391970742346643,1.4142003076656275,0.8031807800806638,True,True,,,,,
,,,,d,composition_propagation,9.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0502901686251243,0.9509534476082828,0.6377078412695294,1.4180670222241607,0.8051575575747386,True,True,,,,,
,,,,d,composition_propagation,10.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0350276496724337,0.965578717953208,0.6507934391365455,1.432623939480961,0.8618554127714331,True,True,,,,,
,,,,d,composition_propagation,11.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0796431517062917,0.923445817661873,0.6217098971879776,1.37162393909803,0.6931724289523475,True,True,,,,,
,,,,d,composition_propagation,12.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0785702802688389,0.9244370879613896,0.6220570575142484,1.37380312509188,0.6974737875774586,True,True,,,,,
,,,,d,composition_propagation,13.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0582960154894304,0.9433706537754214,0.6334727022765108,1.4048722023955558,0.7741803175900416,True,True,,,,,
,,,,d,composition_propagation,14.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0453650086240919,0.9556485981842644,0.6427654772153666,1.4208358656224924,0.8226107518495851,True,True,,,,,
,,,,d,composition_propagation,15.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0338072293082713,0.9667578492553742,0.6515889590345519,1.4343716635126664,0.8666222865945089,True,True,,,,,
,,,,d,composition_propagation,16.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0794894984894507,0.9235877189838532,0.6231115156918191,1.368959252359066,0.6921847619168939,True,True,,,,,
,,,,d,composition_propagation,17.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.1032484952571961,0.9019028270580326,0.6054613901101392,1.343485683384866,0.6115924975750151,True,True,,,,,
,,,,d,composition_propagation,18.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.1017691901811089,0.903238003811626,0.6069824475101839,1.3440897588985434,0.6157922311964416,True,True,,,,,
,,,,d,composition_propagation,19.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.076741476434617,0.9261292488959302,0.6200757316245367,1.3832429522977958,0.7077091774520743,True,True,,,,,
,,,,d,composition_propagation,20.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0832663815957865,0.9201060152636146,0.6155572255984132,1.3753312350468645,0.6847317255263172,True,True,,,,,
,,,,e,ifn_propagation,0.0,,,,,,,,,,primary_base,,,,,,,0.525430264711135,1.14768268816081,7.44251044920975e-07,,,89.0,0.836556476435973,0.156481030828288,5.34605678405811,85.0
,,,,e,ifn_propagation,1.0,,,,,,,,,,primary_base,,,,,,,0.525729715475977,1.14783504785592,7.35973191097766e-07,,,89.0,0.836782381665951,0.156444041077265,5.34876481011304,85.0
,,,,e,ifn_propagation,2.0,,,,,,,,,,primary_base,,,,,,,0.525673286088567,1.14789407934804,7.38971234055133e-07,,,89.0,0.836783682718306,0.15647307662099,5.3477805945183,85.0
,,,,e,ifn_propagation,3.0,,,,,,,,,,primary_base,,,,,,,0.533993071958951,1.15448867214555,5.70092081964099e-07,,,89.0,0.844240872052252,0.156039233408416,5.41043975679207,85.0
,,,,e,ifn_propagation,4.0,,,,,,,,,,primary_base,,,,,,,0.534341258179829,1.15488403798904,5.65446087823963e-07,,,89.0,0.844612648084434,0.156051097911793,5.41241080252985,85.0
,,,,e,ifn_propagation,5.0,,,,,,,,,,primary_base,,,,,,,0.525901293448589,1.14809697655538,7.34125316591141e-07,,,89.0,0.836999135001984,0.156466762041201,5.34937340098843,85.0
,,,,e,ifn_propagation,6.0,,,,,,,,,,primary_base,,,,,,,0.525891628349166,1.14803537725078,7.33462093916448e-07,,,89.0,0.836963502799973,0.156453701878388,5.34959219725302,85.0
