"branch","contrast","regulator","deleted_target","matched_targets_after_depletion","loo_slope","same_direction_as_depleted"
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","BIRC2",122,0.867123369743794,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","BRD8",122,0.869111713441181,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","BST2",122,0.829367344691405,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CASP2",122,0.876851494537596,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CASP4",122,0.858853315177188,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CASP8",122,0.881701093874035,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD14",122,0.863501886657575,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD200",122,0.849918676579369,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD22",122,0.869641550994354,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD40",122,0.882901339343707,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD69",122,0.912479032628438,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD79A",122,0.866860380455776,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CD86",122,0.874925306249277,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CDKN1A",122,0.849426822147533,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CDKN1B",122,0.840772527308058,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CIITA",122,0.865235295169656,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CLU",122,0.867814239194904,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","COPS5",122,0.869891907121512,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CREBBP",122,0.868710678095884,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CREM",122,0.828903074063311,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CTSB",122,0.84770173416886,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","CXCL8",122,0.886220191134646,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","DCLRE1C",122,0.882522747532451,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","DDX50",122,0.880741806108608,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","DIMT1",122,0.875905864341285,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","EDEM2",122,0.856032817646326,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","EIF2AK2",122,0.826325019965038,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","FCGRT",122,0.873965494924457,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","FGL2",122,0.871253081621807,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","FOS",122,0.822075336632721,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","FOXO3",122,0.882581635927639,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","GBP1",122,0.842498262542638,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","GBP2",122,0.85052123594071,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","GLS",122,0.87441903060058,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","GSTK1",122,0.875675493685122,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HDAC7",122,0.883872979407655,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HLA-A",122,0.839484357865425,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HLA-E",122,0.864664495078152,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HMGB1",122,0.883050996853838,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HSP90AA1",122,0.898055007242254,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HSPA4",122,0.857565848566454,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","HSPB1",122,0.839646511035537,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IFI27",122,0.829887129954502,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IFI30",122,0.850752734665109,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IFI35",122,0.839854067555623,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IFITM1",122,0.835867373725102,TRUE
