replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
14,0.6,3,3313,0,0.0,0.0
14,0.6,4,1112,0,0.0,0.0
14,0.6,5,1032,1046,0.9809342230695901,0.997093023255814
14,0.8,0,41548,48296,0.6781978481769276,0.8738808125541543
14,0.8,1,32144,32259,0.697406567919456,0.8232018417122947
14,0.8,2,22768,33546,0.5220822747175523,0.8483836964160225
14,0.8,3,17776,3741,0.17495768033637307,0.18024302430243025
14,0.8,4,3794,0,0.0,0.0
14,0.8,5,1247,1425,0.6596273291925466,0.8516439454691259
14,0.8,6,1043,1053,0.9736346516007532,0.9913710450623202
15,0.4,0,76638,77441,0.9429396484325742,0.9757170072287898
15,0.4,1,40129,38019,0.9029854380752934,0.9240698746542401
15,0.4,2,1506,2868,0.48020304568527916,0.9422310756972112
15,0.4,3,1046,1044,0.9848053181386515,0.9913957934990439
15,0.4,4,1001,948,0.715669014084507,0.8121878121878122
15,0.6,0,43105,31097,0.5773228748166571,0.6300661176197657
15,0.6,1,38927,37582,0.9079551122194514,0.9353148200477818
15,0.6,2,32815,45176,0.6112178493957235,0.9015998781045254
15,0.6,3,3338,4259,0.6390507011866235,0.8873576992210904
15,0.6,4,1085,1147,0.7116564417177914,0.8552995391705069
15,0.6,5,1050,1059,0.9840075258701787,0.9961904761904762
15,0.8,0,41558,55395,0.6134362882960843,0.887001299388806
15,0.8,1,32072,18299,0.39923331203644546,0.4481167373409828
15,0.8,2,22849,16063,0.47567219083014145,0.5489518140837674
15,0.8,3,17729,23094,0.5830844999418312,0.8481019798070957
15,0.8,4,3833,5139,0.579021471312918,0.8583355074354292
15,0.8,5,1216,1267,0.6788370520622042,0.8256578947368421
15,0.8,6,1063,1063,0.9758364312267658,0.9877704609595485
16,0.4,0,76466,78537,0.9377312731273127,0.9809719352391912
16,0.4,1,40323,39697,0.9158207239992339,0.9486397341467648
16,0.4,2,1491,0,0.0,0.0
16,0.4,3,1023,1031,0.9826254826254827,0.9951124144672532
16,0.4,4,1017,1055,0.7338912133891213,0.8623402163225172
16,0.6,0,43017,44799,0.7347398364347517,0.864634911779064
16,0.6,1,39095,40507,0.8979971387696709,0.9633456963806113
16,0.6,2,32726,32710,0.7263157894736842,0.841257715577828
16,0.6,3,3345,0,0.0,0.0
16,0.6,4,1109,1271,0.6975748930099858,0.8818755635707844
16,0.6,5,1028,1033,0.9874638379942141,0.9961089494163424
16,0.8,0,41494,45662,0.6840112066467008,0.8531594929387382
16,0.8,1,31940,33404,0.7077148233326365,0.8478396994364433
16,0.8,2,23046,22064,0.778364740203422,0.8567213399288379
16,0.8,3,17732,18139,0.8109349757673667,0.9058763816828332
16,0.8,4,3819,0,0.0,0.0
16,0.8,5,1253,0,0.0,0.0
16,0.8,6,1036,1051,0.9763257575757576,0.9951737451737451
17,0.4,0,76614,74525,0.8999723437421431,0.9344375701568904
17,0.4,1,40154,43635,0.8554219535419296,0.9620461224286497
17,0.4,2,1489,0,0.0,0.0
17,0.4,3,1064,1078,0.9851714550509731,0.9990601503759399
17,0.4,4,999,1082,0.7269709543568464,0.8768768768768769
17,0.6,0,43082,49037,0.6951089356690711,0.8768163037927673
17,0.6,1,38934,43399,0.8400080454118803,0.9654029896748343
17,0.6,2,32796,25599,0.6750329872067007,0.7175570191486766
17,0.6,3,3350,0,0.0,0.0
17,0.6,4,1089,1198,0.7105459985041137,0.8723599632690542
17,0.6,5,1069,1087,0.983440662373505,1.0
17,0.8,0,41600,36633,0.6322685639174612,0.7284615384615385
17,0.8,1,31993,39615,0.638327079710808,0.8720657643859594
17,0.8,2,22928,29383,0.5204476093591048,0.7809665038381018
17,0.8,3,17677,11379,0.5787872201695283,0.6025909373762516
17,0.8,4,3822,891,0.1055594651653765,0.11773940345368916
17,0.8,5,1220,1320,0.6899534264803726,0.85
17,0.8,6,1080,1099,0.9773139745916516,0.9972222222222222
18,0.4,0,76644,74957,0.9382847060628532,0.9575048275142216
18,0.4,1,40163,39697,0.9047391895437308,0.9444762592435824
18,0.4,2,1474,3542,0.4062237174095879,0.9830393487109905
18,0.4,3,1051,1053,0.9811676082862524,0.9914367269267365
18,0.4,4,988,1071,0.7230125523012553,0.8744939271255061
18,0.6,0,43141,35241,0.683606839075522,0.7377204979022276
18,0.6,1,38945,38329,0.9146184340931616,0.9478495313904224
18,0.6,2,32809,39968,0.683327936346394,0.9004541436800878
18,0.6,3,3301,4557,0.6102459016393442,0.9021508633747349
18,0.6,4,1068,1170,0.7149425287356321,0.8735955056179775
18,0.6,5,1056,1055,0.9821596244131455,0.990530303030303
18,0.8,0,41579,41823,0.6966109280279914,0.8235888309002141
18,0.8,1,32073,32706,0.6861627362173981,0.8219062763071743
18,0.8,2,22912,19022,0.5516169614445349,0.650663407821229
18,0.8,3,17704,20296,0.5736944547976974,0.782478535924085
18,0.8,4,3778,5397,0.5638316004772456,0.8755955532027527
18,0.8,5,1207,0,0.0,0.0
18,0.8,6,1067,1076,0.9769372693726938,0.9925023430178069
19,0.4,0,76722,60547,0.7321883754385079,0.7562759052162352
19,0.4,1,40094,57655,0.6646628065395095,0.9734374220581633
19,0.4,2,1490,0,0.0,0.0
19,0.4,3,1037,1052,0.9800947867298578,0.9971070395371263
19,0.4,4,977,1066,0.7025,0.8628454452405322
19,0.6,0,43242,44168,0.7066265765941662,0.8369640627168031
19,0.6,1,38845,40272,0.8951541428126571,0.9620285751061912
19,0.6,2,32781,33610,0.684879707643894,0.8232512736036118
19,0.6,3,3337,0,0.0,0.0
19,0.6,4,1073,1216,0.676923076923077,0.8611369990680335
19,0.6,5,1042,1054,0.9829706717123936,0.9971209213051824
19,0.8,0,41718,44253,0.6341811131386861,0.7997267366604344
19,0.8,1,32024,33805,0.622642904680914,0.7887834124406695
19,0.8,2,22789,29610,0.6418813060099016,0.8988985914256878
19,0.8,3,17722,10175,0.5030711206896552,0.5268592709626453
19,0.8,4,3799,0,0.0,0.0
19,0.8,5,1219,1414,0.6591052299936988,0.8580803937653815
19,0.8,6,1049,1063,0.9738317757009346,0.9933269780743565
20,0.4,0,76599,79386,0.9240779573208339,0.9780153787908459
20,0.4,1,40132,39882,0.9061390761607547,0.9477972690122596
20,0.4,2,1508,0,0.0,0.0
20,0.4,3,1044,1052,0.9829706717123936,0.9952107279693486
20,0.4,4,1037,0,0.0,0.0
20,0.6,0,43083,42177,0.6842479554343961,0.8039830095397257
20,0.6,1,38886,39177,0.9039756097560976,0.9531193745821118
20,0.6,2,32822,37914,0.713233869405154,0.8972030954847359
20,0.6,3,3358,0,0.0,0.0
20,0.6,4,1121,0,0.0,0.0
20,0.6,5,1050,1052,0.9867674858223062,0.9942857142857143
20,0.8,0,41582,44496,0.6752559261998365,0.8343994997835602
20,0.8,1,32026,33405,0.6940503314001657,0.8370386560919253
20,0.8,2,22849,18552,0.6327246914067122,0.7021751498971509
20,0.8,3,17721,22795,0.7052188552188552,0.9455448338129903
20,0.8,4,3822,0,0.0,0.0
20,0.8,5,1262,0,0.0,0.0
20,0.8,6,1058,1072,0.9722222222222222,0.9924385633270322
