gene_index,gene_id,feature_name,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg
ENSG00000110852,ENSG00000110852,CLEC2B,24381,True,0.8369070111135197,1.909246678525804,1.1012808,86,False,False,False,False,False,False,False,False
ENSG00000106537,ENSG00000106537,TSPAN13,20652,True,0.7270056366192008,1.8898265429324204,1.0593433,86,False,False,False,False,False,False,False,False
ENSG00000042980,ENSG00000042980,ADAM28,31907,True,0.9893274929967536,1.9107656631166763,0.87086064,86,False,False,False,False,False,False,False,False
ENSG00000164056,ENSG00000164056,SPRY1,1267,True,0.06035595302900831,1.8846433072059545,0.845081,86,False,False,False,False,False,False,False,False
ENSG00000141753,ENSG00000141753,IGFBP4,2032,True,0.0885207365299083,1.8762422299532928,0.8031415,86,False,False,False,False,False,False,False,False
ENSG00000082293,ENSG00000082293,COL19A1,6664,True,0.26219327756682825,1.8464894508363812,0.80108595,86,False,False,False,False,False,False,False,False
ENSG00000103528,ENSG00000103528,SYT17,1782,True,0.07989513634643405,1.8653932643256104,0.7552583,86,False,False,False,False,False,False,False,False
ENSG00000110841,ENSG00000110841,PPFIBP1,1421,True,0.06246892380570346,1.8561238377360048,0.7203927,86,False,False,False,False,False,False,False,False
ENSG00000196782,ENSG00000196782,MAML3,1514,True,0.06703499933729147,1.8592595542822627,0.7191812,86,False,False,False,False,False,False,False,False
ENSG00000107679,ENSG00000107679,PLEKHA1,5568,True,0.21790918678186724,1.8562601097153288,0.7016921,86,False,False,False,False,False,False,False,False
ENSG00000205189,ENSG00000205189,ZBTB10,6560,True,0.2566593774537243,1.813698379341958,0.5376865,86,False,False,False,False,False,False,False,False
ENSG00000182183,ENSG00000182183,SHISAL2A,5805,True,0.22480321523994523,1.813577625648232,0.53058857,86,False,False,False,False,False,False,False,False
ENSG00000179088,ENSG00000179088,C12orf42,4546,True,0.18056919433130747,1.7979422377390122,0.45892087,86,False,False,False,False,False,False,False,False
ENSG00000166598,ENSG00000166598,HSP90B1,27010,True,0.9097656728771465,2.516360832610931,4.885805,85,False,False,False,False,False,False,False,False
ENSG00000158050,ENSG00000158050,DUSP2,12468,True,0.4979700175291868,2.1654632713122735,3.83499,85,False,False,False,False,False,False,False,False
ENSG00000100219,ENSG00000100219,XBP1,9249,True,0.36150092562131136,2.01854781003134,2.6490602,85,False,False,False,False,False,False,False,False
ENSG00000126709,ENSG00000126709,IFI6,18421,True,0.6707870479816707,2.0935466972014942,2.5544899,85,False,False,False,False,False,False,False,True
ENSG00000171476,ENSG00000171476,HOPX,7868,True,0.3216887493089708,1.982519218740862,1.8737314,85,False,False,False,False,False,False,False,False
ENSG00000133316,ENSG00000133316,WDR74,18768,True,0.6779028081250005,1.9647932677932418,1.7410588,85,False,False,False,False,False,False,False,False
ENSG00000196937,ENSG00000196937,FAM3C,16823,True,0.5913948660418361,1.9300857670176497,1.7232841,85,False,False,False,False,False,False,False,False
ENSG00000130844,ENSG00000130844,ZNF331,13089,True,0.4871174216763175,1.9370303326780982,1.7021093,85,False,False,False,False,False,False,False,False
ENSG00000197747,ENSG00000197747,S100A10,30487,True,0.9882635528028824,2.014936367537462,1.64726,85,False,False,False,False,False,False,False,False
ENSG00000169045,ENSG00000169045,HNRNPH1,32436,True,1.0475106625020028,1.995134152687042,1.4936433,85,False,False,False,False,False,False,False,False
ENSG00000121966,ENSG00000121966,CXCR4,102249,True,2.8703049307214514,2.533999582598589,1.476995,85,False,False,False,False,False,False,False,False
ENSG00000099958,ENSG00000099958,DERL3,5282,True,0.21882422428385204,1.9803189963211087,1.2310419,85,False,False,False,False,False,False,False,False
ENSG00000175130,ENSG00000175130,MARCKSL1,19990,True,0.6833278921266197,1.8973366225318486,1.1196396,85,False,False,False,False,False,False,False,False
ENSG00000128040,ENSG00000128040,SPINK2,1235,True,0.058380199651603244,1.9315734173982142,1.0156671,85,False,False,False,False,False,False,False,False
ENSG00000163683,ENSG00000163683,SMIM14,29275,True,0.9393977188944503,1.90708629379979,0.968917,85,False,False,False,False,False,False,False,False
ENSG00000198707,ENSG00000198707,CEP290,6248,True,0.24147118485875743,1.8575951694577548,0.8736447,85,False,False,False,False,False,False,False,False
ENSG00000188820,ENSG00000188820,CALHM6,34748,True,1.0605231511853255,1.9141858184415832,0.86753243,85,False,False,False,False,False,False,False,False
ENSG00000127528,ENSG00000127528,KLF2,46960,True,1.3552522483357172,1.9685087652004716,0.8668465,85,False,False,False,False,False,False,False,False
ENSG00000266088,ENSG00000266088,ENSG00000266088,2573,True,0.11534826596486186,1.8792202290252313,0.8242944,85,False,False,False,False,False,False,False,False
ENSG00000131724,ENSG00000131724,IL13RA1,3887,True,0.1572026178530969,1.8554981169101337,0.7273255,85,False,False,False,False,False,False,False,False
ENSG00000163328,ENSG00000163328,GPR155,2357,True,0.09791136868450684,1.846613209000055,0.69079864,85,False,False,False,False,False,False,False,False
ENSG00000171467,ENSG00000171467,ZNF318,5879,True,0.22742665137028864,1.8330592532763923,0.6598494,85,False,False,False,False,False,False,False,False
ENSG00000160223,ENSG00000160223,ICOSLG,7201,True,0.27220747681233787,1.8267514235530904,0.6222982,85,False,False,False,False,False,False,False,False
ENSG00000145012,ENSG00000145012,LPP,7780,True,0.28722877621519366,1.8095233616177813,0.59707546,85,False,False,False,False,False,False,False,False
ENSG00000214140,ENSG00000214140,PRCD,2828,True,0.11982117972238898,1.8259842857052029,0.5903606,85,False,False,False,False,False,False,False,False
ENSG00000112773,ENSG00000112773,TENT5A,4524,True,0.1746915265910406,1.8236674140507205,0.5755969,85,False,False,False,False,False,False,False,False
ENSG00000103550,ENSG00000103550,KNOP1,4448,True,0.17749858440418972,1.8248787485523843,0.57033974,85,False,False,False,False,False,False,False,False
