resolution,cluster,rank,gene_id,gene,n_cells,cluster_cpm,rest_cpm,log2_fold_change,cluster_detection_fraction,rest_detection_fraction,detection_difference,marker_score,technical_nuisance,eligible_samples,samples_with_at_least_5pct_detection,sample_support_fraction
0.6,2,1,ENSG00000100721,TCL1A,41032,843.7075134217152,255.79738833856382,1.7178213532807372,0.691070384090466,0.3049830849410259,0.38608729914944007,0.6632290067093959,False,258,258,1.0
0.6,2,2,ENSG00000137959,IFI44L,41032,293.6866029401988,85.08676994018391,1.7753180317751704,0.3692483914993176,0.1262229130474536,0.243025478451864,0.4314475140763823,False,258,194,0.751937984496124
0.6,2,3,ENSG00000257275,ENSG00000257275,41032,91.47218496570686,19.415176977901808,2.1793774033060926,0.14747026710859817,0.03590564140074975,0.11156462570784842,0.24314142427598684,False,258,230,0.8914728682170543
0.6,2,4,ENSG00000110848,CD69,41032,961.5534864631372,450.3551387296226,1.092603676804534,0.6758627412751024,0.4689402944134589,0.20692244686164346,0.22608422625442245,False,258,258,1.0
0.6,2,5,ENSG00000099860,GADD45B,41032,229.03795582500052,87.87788664796331,1.3719755051234004,0.31041626047962567,0.1513669196306117,0.15904934084901398,0.21821179975086982,False,258,252,0.9767441860465116
0.6,2,6,ENSG00000132530,XAF1,41032,149.91659159785544,54.050397942618815,1.454926525085678,0.24049522324039774,0.09912224558836975,0.141372977652028,0.2056872951162803,False,258,219,0.8488372093023255
0.6,2,7,ENSG00000140398,NEIL1,41032,74.5316101151492,16.937003658570404,2.074141630295594,0.12731526613374927,0.03370211209655299,0.09361315403719628,0.19416693993182285,False,258,213,0.8255813953488372
0.6,2,8,ENSG00000128218,VPREB3,41032,487.04440996490973,251.2681671354855,0.9520542638675925,0.555639500877364,0.35241839626954374,0.20322110460782028,0.19347751914975736,False,258,258,1.0
0.6,2,9,ENSG00000060138,YBX3,41032,207.62294731752226,90.0642614023905,1.1959409769352047,0.31258529927861184,0.15171436408521533,0.1608709351933965,0.19239214339567062,False,258,252,0.9767441860465116
0.6,2,10,ENSG00000170345,FOS,41032,1500.4690371209049,714.4624427208933,1.0694267827089203,0.785947553129265,0.6200603456157996,0.16588720751346542,0.17740422262369235,False,258,258,1.0
0.6,2,11,ENSG00000124766,SOX4,41032,58.271425949535654,13.579205679817623,2.023424646899629,0.0983135114057321,0.024915424705129377,0.07339808670060273,0.14851549766527541,False,258,205,0.7945736434108527
0.6,2,12,ENSG00000120129,DUSP1,41032,1541.603843446255,815.314793095322,0.9181701036375186,0.8611571456424254,0.7035201609216422,0.15763698472078325,0.14473756659818748,False,258,258,1.0
0.6,2,13,ENSG00000126709,IFI6,41032,164.60841757444527,76.64152741679686,1.092875599145106,0.24841587054006628,0.11739050928042424,0.13102536125964204,0.14319442018983525,False,258,237,0.9186046511627907
0.6,2,14,ENSG00000171223,JUNB,41032,1784.1112284240473,932.7108534104067,0.9349662117672124,0.8425375316825892,0.6999634268995154,0.14257410478307375,0.13330197064513205,False,258,258,1.0
0.6,2,15,ENSG00000187608,ISG15,41032,257.6374286836683,143.268866403258,0.8421710736172772,0.3216270228114642,0.17822071866142453,0.1434063041500397,0.12077264112952471,False,258,249,0.9651162790697675
0.6,2,16,ENSG00000112137,PHACTR1,41032,162.394264837,77.69876859398603,1.0539443785060494,0.24800155975823748,0.13381183139800676,0.11418972836023072,0.12034962228839798,False,258,250,0.9689922480620154
0.6,2,17,ENSG00000172264,MACROD2,41032,77.14938444535791,28.73158623129272,1.3942380741166989,0.13830668746344316,0.05381731736307945,0.0844893701003637,0.11779829665206408,False,258,216,0.8372093023255814
