replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
11,0.6,2,32958,22948,0.5258604219547477,0.584592511681534
11,0.6,3,3349,0,0.0,0.0
11,0.6,4,1063,1009,0.7862068965517242,0.8579492003762935
11,0.6,5,1057,1063,0.9850187265917603,0.9952696310312205
11,0.8,0,41573,40718,0.6248913987836664,0.761239265869675
11,0.8,1,32195,36502,0.6191430187611955,0.8159341512657244
11,0.8,2,22810,14172,0.5682300059367315,0.5874616396317405
11,0.8,3,17639,22866,0.665844129138392,0.9178524859685924
11,0.8,4,3832,3939,0.642570281124498,0.7933194154488518
11,0.8,5,1205,1062,0.7425057647963106,0.8016597510373444
11,0.8,6,1066,1061,0.9859943977591037,0.9906191369606003
12,0.4,0,76486,76425,0.952063625802663,0.9750542582956359
12,0.4,1,40303,38914,0.920598361053193,0.9421383023596258
12,0.4,2,1495,2976,0.48735861610113107,0.979933110367893
12,0.4,3,1051,1051,0.9924170616113744,0.9961941008563273
12,0.4,4,985,954,0.8223684210526315,0.8883248730964467
12,0.6,0,42962,41115,0.7835974458516303,0.859783064103161
12,0.6,1,39062,39051,0.9224976003544092,0.9595514822589729
12,0.6,2,32840,34663,0.7581195468159917,0.8863580998781974
12,0.6,3,3327,3413,0.7353244078269825,0.8584310189359784
12,0.6,4,1073,1013,0.785958904109589,0.8555452003727866
12,0.6,5,1056,1065,0.9803921568627451,0.9943181818181818
12,0.8,0,41420,36813,0.697985848851847,0.7764123611781748
12,0.8,1,32037,37872,0.680424018076054,0.8835721197365546
12,0.8,2,22923,15517,0.6090414399330264,0.6347336736029315
12,0.8,3,17818,23724,0.6666131749979941,0.9325401279604894
12,0.8,4,3834,4207,0.6494358974358975,0.8257694314032342
12,0.8,5,1221,1119,0.758076634109692,0.8263718263718264
12,0.8,6,1067,1068,0.9842007434944238,0.9925023430178069
13,0.4,0,76710,78401,0.9445997618002884,0.9822187459262156
13,0.4,1,40082,39985,0.9277923578840922,0.9613791726959733
13,0.4,2,1509,0,0.0,0.0
13,0.4,3,1022,1020,0.9921951219512195,0.9951076320939335
13,0.4,4,997,914,0.8028301886792453,0.8535606820461384
13,0.6,0,43222,52021,0.7509191852342084,0.9450511313682847
13,0.6,1,38841,40668,0.9062335171421722,0.9731726783553462
