replicate,resolution,reference_cluster,mapped_reference_cluster,n_cells,fraction_of_reference_cluster
4,0.8,0,0,37606,0.9056885506478494
4,0.8,0,1,2612,0.06290641105919753
4,0.8,0,2,680,0.016376860459515436
4,0.8,0,3,305,0.00734550358845913
4,0.8,0,4,278,0.006695245893743076
4,0.8,0,5,40,0.0009633447329126728
4,0.8,0,6,1,2.408361832281682e-05
4,0.8,1,0,2885,0.08985859340933158
4,0.8,1,1,28328,0.8823272908490625
4,0.8,1,2,571,0.017784837725035817
4,0.8,1,3,89,0.002772067526319068
4,0.8,1,4,209,0.006509686662929047
4,0.8,1,5,23,0.0007163770011835794
4,0.8,1,6,1,3.1146826138416496e-05
4,0.8,2,0,643,0.02812035336307181
4,0.8,2,1,475,0.020773200384850872
4,0.8,2,2,19745,0.8635091402081694
4,0.8,2,3,1848,0.08081868276043033
4,0.8,2,4,124,0.005422898626782122
4,0.8,2,5,28,0.0012245254963701565
4,0.8,2,6,3,0.0001311991603253739
4,0.8,3,0,280,0.015792442188381276
4,0.8,3,1,99,0.005583756345177665
4,0.8,3,2,584,0.0329385222786238
4,0.8,3,3,16561,0.9340665538635082
4,0.8,3,4,189,0.01065989847715736
4,0.8,3,5,16,0.0009024252679075014
4,0.8,3,6,1,5.640157924421884e-05
4,0.8,4,0,375,0.09847689075630252
4,0.8,4,1,230,0.06039915966386555
4,0.8,4,2,50,0.013130252100840336
4,0.8,4,3,27,0.0070903361344537815
4,0.8,4,4,3121,0.8195903361344538
4,0.8,4,5,5,0.0013130252100840337
4,0.8,5,0,90,0.07323026851098453
4,0.8,5,1,48,0.03905614320585842
4,0.8,5,2,22,0.01790073230268511
4,0.8,5,3,25,0.02034174125305126
4,0.8,5,4,2,0.0016273393002441008
4,0.8,5,5,1042,0.8478437754271766
4,0.8,6,1,1,0.0009442870632672333
4,0.8,6,2,2,0.0018885741265344666
4,0.8,6,3,2,0.0018885741265344666
4,0.8,6,6,1054,0.9952785646836638
5,0.4,0,0,74452,0.970501205761585
5,0.4,0,1,1364,0.01778009515740077
5,0.4,0,2,846,0.011027830280909862
5,0.4,0,4,53,0.0006908688001042821
5,0.4,1,0,1243,0.030993641690562273
5,0.4,1,1,38599,0.9624485724971948
5,0.4,1,2,247,0.006158833063209076
5,0.4,1,3,3,7.480364044383494e-05
5,0.4,1,4,13,0.00032414910858995135
5,0.4,2,0,39,0.026156941649899398
5,0.4,2,1,10,0.00670690811535882
5,0.4,2,2,1441,0.9664654594232059
5,0.4,2,4,1,0.0006706908115358819
5,0.4,3,0,2,0.0019398642095053346
5,0.4,3,3,1029,0.9980601357904947
5,0.4,4,0,93,0.0950920245398773
5,0.4,4,1,41,0.041922290388548056
5,0.4,4,2,2,0.002044989775051125
5,0.4,4,4,842,0.8609406952965235
5,0.6,0,0,40451,0.9391702073320796
5,0.6,0,1,2050,0.04759583014093009
5,0.6,0,3,474,0.011005084627707738
5,0.6,0,4,95,0.0022056604211650533
5,0.6,0,5,1,2.3217478117526874e-05
5,0.6,1,0,686,0.017647664128421486
5,0.6,1,1,37977,0.97697571516773
5,0.6,1,2,106,0.0027268985387939905
5,0.6,1,3,46,0.0011833710640049393
5,0.6,1,4,28,0.0007203128215682239
5,0.6,1,5,29,0.0007460382794813748
5,0.6,2,0,30969,0.9391375545851528
5,0.6,2,1,1148,0.03481319747695293
5,0.6,2,2,472,0.014313440077632217
5,0.6,2,3,335,0.010158903444929646
