contrast,regulator,replicate,sampled_targets,slope,positive,same_direction_as_full
gse174188_primary,IRF7,23,4,0.0662827931518453,True,True
gse174188_primary,IRF7,24,4,0.0662827931518453,True,True
gse174188_primary,IRF7,25,4,0.0662827931518453,True,True
gse174188_primary,IRF7,26,4,2.094541089109236,True,True
gse174188_primary,IRF7,27,4,1.0460891298222137,True,True
gse174188_primary,IRF7,28,4,1.0460891298222137,True,True
gse174188_primary,IRF7,29,4,0.0662827931518453,True,True
gse174188_primary,IRF7,30,4,1.0460891298222137,True,True
gse174188_primary,IRF7,31,4,0.0662827931518453,True,True
gse174188_primary,IRF7,32,4,1.0460891298222137,True,True
gse174188_primary,IRF7,33,4,0.6230912444590498,True,True
gse174188_primary,IRF7,34,4,1.0460891298222137,True,True
gse174188_primary,IRF7,35,4,0.0662827931518453,True,True
gse174188_primary,IRF7,36,4,0.6230912444590498,True,True
gse174188_primary,IRF7,37,4,0.6230912444590498,True,True
gse174188_primary,IRF7,38,4,2.2232665908626776,True,True
gse174188_primary,IRF7,39,4,1.0460891298222137,True,True
gse174188_primary,IRF7,40,4,0.6230912444590498,True,True
gse174188_primary,IRF7,41,4,0.6230912444590498,True,True
gse174188_primary,IRF7,42,4,1.0460891298222137,True,True
gse174188_primary,IRF7,43,4,2.094541089109236,True,True
gse174188_primary,IRF7,44,4,0.0662827931518453,True,True
gse174188_primary,IRF7,45,4,2.2232665908626776,True,True
gse174188_primary,IRF7,46,4,2.094541089109236,True,True
gse174188_primary,IRF7,47,4,2.2232665908626776,True,True
gse174188_primary,IRF7,48,4,2.094541089109236,True,True
gse174188_primary,IRF7,49,4,0.6230912444590498,True,True
gse174188_primary,IRF7,50,4,2.2232665908626776,True,True
gse174188_primary,IRF7,51,4,2.094541089109236,True,True
gse174188_primary,IRF7,52,4,1.0460891298222137,True,True
gse174188_primary,IRF7,53,4,1.0460891298222137,True,True
gse174188_primary,IRF7,54,4,0.0662827931518453,True,True
gse174188_primary,IRF7,55,4,1.0460891298222137,True,True
gse174188_primary,IRF7,56,4,2.2232665908626776,True,True
gse174188_primary,IRF7,57,4,0.6230912444590498,True,True
gse174188_primary,IRF7,58,4,0.0662827931518453,True,True
gse174188_primary,IRF7,59,4,0.0662827931518453,True,True
gse174188_primary,IRF7,60,4,1.0460891298222137,True,True
gse174188_primary,IRF7,61,4,1.0460891298222137,True,True
gse174188_primary,IRF7,62,4,1.0460891298222137,True,True
gse174188_primary,IRF7,63,4,1.0460891298222137,True,True
gse174188_primary,IRF7,64,4,0.0662827931518453,True,True
gse174188_primary,IRF7,65,4,1.0460891298222137,True,True
gse174188_primary,IRF7,66,4,2.2232665908626776,True,True
gse174188_primary,IRF7,67,4,0.6230912444590498,True,True
gse174188_primary,IRF7,68,4,0.6230912444590498,True,True
gse174188_primary,IRF7,69,4,2.094541089109236,True,True
gse174188_primary,IRF7,70,4,0.6230912444590498,True,True
gse174188_primary,IRF7,71,4,2.094541089109236,True,True
