representation,sample_uuid,cohort_a,cohort_b,cells_a,cells_b,euclidean_centroid_distance,cosine_centroid_distance
harmony_pca,d65c2394-3eed-48b8-8a26-5f214003f312,2.0,3.0,210,229,1.6284131672989113,0.20900482365058015
harmony_pca,e0286325-9289-4765-af44-1bded6b1d3df,1.0,2.0,464,573,1.6568228662773687,0.30688309366696054
harmony_pca,e869b441-83d5-44d3-abc7-1a970170e1e4,2.0,4.0,438,435,0.8789958514057957,0.25442598405927885
harmony_pca,e9cf8f89-d60a-4584-951b-ae7df22cf6d7,2.0,3.0,93,109,2.171182211386671,0.20103136405843192
harmony_pca,f0a33a73-192b-4398-b8bc-05eb0c59ae54,1.0,2.0,426,433,1.9102758521382222,0.48689152785931045
harmony_pca,f0a33a73-192b-4398-b8bc-05eb0c59ae54,1.0,3.0,426,395,1.5814343423187958,0.24018870529826497
harmony_pca,f0a33a73-192b-4398-b8bc-05eb0c59ae54,2.0,3.0,433,395,1.543493448167828,0.22613267802385584
harmony_pca,f3091b7a-a59b-4bee-a4c4-c930424b63f3,1.0,2.0,573,934,1.9858740585194485,0.4167527888160123
harmony_pca,f6f39d84-6fb4-4519-9efa-f9ca4651e3c9,2.0,3.0,605,386,1.6643894138627828,0.283364753623612
harmony_pca,fc11ebf7-2767-4d92-96f9-a57af8f1be30,2.0,4.0,1505,1126,0.783350518853857,0.026363728645204754
harmony_pca,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,1.0,2.0,418,452,1.4673856472839626,0.13338052265730238
harmony_pca,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,1.0,3.0,418,219,1.5987359536646646,0.16517956258669964
harmony_pca,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,2.0,3.0,452,219,1.114185818579379,0.07580961146952903
