resolution,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
1.0,3,T_NK,24521,4,0.24625277519226074,0.45267321887361855
1.0,3,myeloid,24521,5,0.5234296917915344,0.8033114473308592
1.0,3,platelet,24521,4,0.12041600048542023,0.2426491578646874
1.0,3,erythroid,24521,3,0.12313371896743774,0.159169691285021
1.0,4,B_identity,11513,7,1.8251492977142334,0.9995657083297143
1.0,4,naive,11513,4,0.6465732455253601,0.7343872144532267
1.0,4,memory,11513,5,0.253507524728775,0.5046469208720576
1.0,4,atypical,11513,5,0.09773961454629898,0.22704768522539737
1.0,4,plasmablast,11513,6,0.16330265998840332,0.3952922782941023
1.0,4,interferon,11513,6,0.1340062916278839,0.32406844436723703
1.0,4,T_NK,11513,4,0.23142758011817932,0.3850429948753583
1.0,4,myeloid,11513,5,0.5608603358268738,0.7704334230869452
1.0,4,platelet,11513,4,0.09810362756252289,0.17944931816207765
1.0,4,erythroid,11513,3,0.13015714287757874,0.1513940762616173
1.0,5,B_identity,6229,7,1.8896886110305786,0.9998394605875742
1.0,5,naive,6229,4,0.6209816932678223,0.7129555305827581
1.0,5,memory,6229,5,0.29122477769851685,0.5522555787445818
1.0,5,atypical,6229,5,0.09527028352022171,0.22892920211912024
1.0,5,plasmablast,6229,6,0.16361674666404724,0.40279338577620805
1.0,5,interferon,6229,6,0.14837750792503357,0.3572001926472949
1.0,5,T_NK,6229,4,0.19163544476032257,0.33986193610531384
1.0,5,myeloid,6229,5,0.5131556987762451,0.7516455289773639
1.0,5,platelet,6229,4,0.5669275522232056,0.7487558195537004
1.0,5,erythroid,6229,3,0.10192466527223587,0.12570235992936266
1.0,6,B_identity,1351,7,1.131751298904419,0.997779422649889
1.0,6,naive,1351,4,0.1094997376203537,0.29163582531458176
1.0,6,memory,1351,5,0.587961733341217,0.9282013323464101
1.0,6,atypical,1351,5,0.09630964696407318,0.38490007401924503
1.0,6,plasmablast,1351,6,2.2232677936553955,0.9911176905995559
1.0,6,interferon,1351,6,0.5559490323066711,0.8371576609918578
1.0,6,T_NK,1351,4,0.40985003113746643,0.7416728349370837
1.0,6,myeloid,1351,5,0.7912487983703613,0.9541080680977054
1.0,6,platelet,1351,4,0.1285867691040039,0.3427091043671355
1.0,6,erythroid,1351,3,0.2853683531284332,0.4307920059215396
1.0,7,B_identity,22,7,1.8637120723724365,1.0
1.0,7,naive,22,4,0.3577713668346405,0.5454545454545454
1.0,7,memory,22,5,0.2809080183506012,0.5909090909090909
1.0,7,atypical,22,5,0.07856690883636475,0.22727272727272727
1.0,7,plasmablast,22,6,0.2149786651134491,0.5454545454545454
1.0,7,interferon,22,6,0.08132302761077881,0.22727272727272727
1.0,7,T_NK,22,4,0.17816290259361267,0.2727272727272727
1.0,7,myeloid,22,5,0.5906631946563721,0.8181818181818182
1.0,7,platelet,22,4,0.11068010330200195,0.22727272727272727
1.0,7,erythroid,22,3,0.10660416632890701,0.13636363636363635
1.0,8,B_identity,4,7,2.0611937046051025,1.0
1.0,8,naive,4,4,0.2654736340045929,0.5
1.0,8,memory,4,5,0.513881504535675,1.0
1.0,8,atypical,4,5,0.08503956347703934,0.25
1.0,8,plasmablast,4,6,0.07086630165576935,0.25
1.0,8,interferon,4,6,0.15136192739009857,0.25
1.0,8,T_NK,4,4,0.0,0.0
1.0,8,myeloid,4,5,0.5271822810173035,1.0
1.0,8,platelet,4,4,0.0,0.0
