var_name,gene_id,feature_name,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg,hvg_primary,hvg_isg_excluded,hvg_union
ENSG00000215788,ENSG00000215788,TNFRSF25,False,30,0.03896496669171731,1.6794536471490717,-0.05989654,False,False,False,False,False,False,False,False,False,False
ENSG00000171680,ENSG00000171680,PLEKHG5,False,6,0.0007035590012937234,0.3358198850468813,-0.36728492,False,False,False,False,False,False,False,False,False,False
ENSG00000162408,ENSG00000162408,NOL9,True,71,0.09170470011596005,1.7787778748500271,0.37762758,False,False,False,False,False,False,False,True,True,True
ENSG00000204859,ENSG00000204859,ZBTB48,True,48,0.05798079676290064,1.7244127610100544,0.15233979,False,False,False,False,False,False,False,False,False,False
ENSG00000162413,ENSG00000162413,KLHL21,False,36,0.0153317204832262,1.5699216773733626,-0.10383242,False,False,False,False,False,False,False,False,False,False
ENSG00000116273,ENSG00000116273,PHF13,True,48,0.021263359846681987,1.6715425629352039,0.043722283,False,False,False,False,False,False,False,False,False,False
ENSG00000041988,ENSG00000041988,THAP3,True,50,0.0661458410554262,1.7287550683627695,0.15951294,False,False,False,False,False,False,False,False,False,False
ENSG00000007923,ENSG00000007923,DNAJC11,True,49,0.05810942810062982,1.7348114109659856,0.19080243,False,False,False,False,False,False,False,False,False,False
ENSG00000228750,ENSG00000228750,LINC01672,False,9,0.0009836317403607018,0.40317102612907657,-0.05662522,False,False,False,False,False,False,False,False,False,False
ENSG00000237436,ENSG00000237436,CAMTA1-DT,False,24,0.006004998903932035,1.2572501319677245,-0.23802006,False,False,False,False,False,False,False,False,False,False
ENSG00000171735,ENSG00000171735,CAMTA1,False,11,0.4279692149420628,1.719390713572671,-0.4232777,False,False,False,False,False,False,False,False,False,False
ENSG00000049245,ENSG00000049245,VAMP3,True,47,0.1405917787360348,1.726239554345169,0.14724274,False,False,False,False,False,False,False,False,False,False
ENSG00000049246,ENSG00000049246,PER3,False,33,0.011023240083532065,1.51206818735053,-0.18323992,False,False,False,False,False,False,False,False,False,False
ENSG00000236266,ENSG00000236266,ENSG00000236266,False,21,0.0016673674726544055,0.7093605152219588,-0.1770126,False,False,False,False,False,False,False,False,False,False
ENSG00000049247,ENSG00000049247,UTS2,False,32,0.03614437792684093,1.6573857724281567,-0.14733136,False,False,False,False,False,False,False,False,False,False
