resolution,cluster,gene,n_cells,mean_log_normalized_expression,fraction_detected
0.6,0,ITGAX,53860,0.012087279930710793,0.006572595618269588
0.6,0,TBX21,53860,0.008561666123569012,0.004530263646490902
0.6,0,ZEB2,53860,0.16035406291484833,0.08265874489417006
0.6,0,MZB1,53860,0.16175660490989685,0.08258447827701448
0.6,0,JCHAIN,53860,0.43411967158317566,0.19454140363906425
0.6,0,XBP1,53860,0.0991792380809784,0.05141106572595618
0.6,0,SDC1,53860,3.5355318686924875e-05,1.856665428889714e-05
0.6,0,TNFRSF17,53860,0.024176185950636864,0.012365391756405495
0.6,0,DERL3,53860,0.053120143711566925,0.02772001485332343
0.6,0,IFI6,53860,0.16374719142913818,0.08200891199405867
0.6,0,IFIT1,53860,0.0070656645111739635,0.0036576308949127366
0.6,0,IFIT3,53860,0.018259266391396523,0.00948756034162644
0.6,0,ISG15,53860,0.22582966089248657,0.11243965837356108
0.6,0,MX1,53860,0.10020104050636292,0.050965466023022654
0.6,0,OAS1,53860,0.06666962057352066,0.03395841069439287
0.6,0,CD3D,53860,0.12898093461990356,0.06700705532862979
0.6,0,CD3E,53860,0.07628283649682999,0.041050872632751575
0.6,0,NKG7,53860,0.28471508622169495,0.14474563683624211
0.6,0,GNLY,53860,0.32067325711250305,0.16314519123653917
0.6,0,LYZ,53860,0.6564928889274597,0.31522465651689563
0.6,0,LST1,53860,0.35272979736328125,0.17614184923876716
0.6,0,TYROBP,53860,0.3623408079147339,0.18267731154845898
0.6,0,FCER1G,53860,0.24090981483459473,0.12237281841812106
0.6,0,S100A8,53860,0.9317443370819092,0.4259376160415893
0.6,0,PPBP,53860,0.15858635306358337,0.07781284812476792
0.6,0,PF4,53860,0.11102978885173798,0.05499443000371333
0.6,0,GNG11,53860,0.06799468398094177,0.034459710360193095
0.6,0,RGS18,53860,0.0420602522790432,0.02103601930932046
0.6,0,HBA1,53860,0.046734653413295746,0.022558484961010025
0.6,0,HBA2,53860,0.111275814473629,0.05263646490902339
0.6,0,HBB,53860,0.20032402873039246,0.08976977348681768
0.6,1,CD79A,48676,2.174807548522949,0.8570548114060317
0.6,1,CD79B,48676,1.4650453329086304,0.6799449420659052
0.6,1,MS4A1,48676,1.935389757156372,0.8129879201249075
0.6,1,CD19,48676,0.2953783869743347,0.1792053578765716
0.6,1,CD22,48676,0.4181616008281708,0.24716492727422137
0.6,1,CD37,48676,2.287710666656494,0.8850768345796697
0.6,1,CD74,48676,4.205935001373291,0.997986687484592
0.6,1,TCL1A,48676,0.10390301048755646,0.0524077574163859
0.6,1,IL4R,48676,0.08687902987003326,0.05351713370038623
0.6,1,FCER2,48676,0.18860889971256256,0.1139986851836634
0.6,1,CCR7,48676,0.15926826000213623,0.09774837702358452
0.6,1,CD27,48676,0.2970896363258362,0.18257457473909114
0.6,1,AIM2,48676,0.24076980352401733,0.15015613443997042
0.6,1,GPR183,48676,0.8686849474906921,0.4523379077985044
0.6,1,TNFRSF13B,48676,0.36132845282554626,0.21998520831621332
0.6,1,BANK1,48676,1.166558861732483,0.595385816418769
0.6,1,FCRL3,48676,0.14887383580207825,0.08985947900402662
0.6,1,FCRL5,48676,0.2581484317779541,0.14349987673596845
0.6,1,ITGAX,48676,0.042171791195869446,0.028268551236749116
0.6,1,TBX21,48676,0.024338923394680023,0.016209220149560357
0.6,1,ZEB2,48676,0.25246936082839966,0.1518818308817487
0.6,1,MZB1,48676,0.21766798198223114,0.13550825869011424
0.6,1,JCHAIN,48676,0.9200620651245117,0.4001561344399704
0.6,1,XBP1,48676,0.1428665667772293,0.0907634152354343
0.6,1,SDC1,48676,9.455397230340168e-05,6.163201577779604e-05
0.6,1,TNFRSF17,48676,0.03608189523220062,0.02366669405867368
0.6,1,DERL3,48676,0.06604374945163727,0.04170433067630865
0.6,1,IFI6,48676,0.24386803805828094,0.1429451885939683
0.6,1,IFIT1,48676,0.018516508862376213,0.01183334702933684
0.6,1,IFIT3,48676,0.0517742745578289,0.03143232804667598
0.6,1,ISG15,48676,0.42937207221984863,0.2367285726025146
0.6,1,MX1,48676,0.2075539231300354,0.12482537595529625
