member_name,sample_id,accession,role,size_bytes,sha256_compressed_member
GSM4029946_JB19008_barcodes.tsv.gz,JB19008,GSM4029946,barcodes,25319,C8CFF8EFBD9904157EA42967DFE8D15F8125F7594736959CF6D06A047EADE867
GSM4029946_JB19008_matrix.mtx.gz,JB19008,GSM4029946,matrix,22291986,458E6C4E5BFA465AC7CE2B36D4DC77A6449BC0CC624D5E47E8721441A5C6C285
GSM4029947_JB19009_barcodes.tsv.gz,JB19009,GSM4029947,barcodes,26990,6F05142EC72BDB59A4B0CB987CD6EFD51D02274FBE0562413750886849E9ED22
GSM4029947_JB19009_matrix.mtx.gz,JB19009,GSM4029947,matrix,21505031,E3ACCD24C15326B26BA451B87F12F5CCF769496895F389C262116149F21B57C5
GSM4029948_JB19010_barcodes.tsv.gz,JB19010,GSM4029948,barcodes,32961,7ACBA5D3465BC5AE4D106A8FDDB0600D73B1FA1B6B18FD1564514E8E2ABB11EA
GSM4029948_JB19010_matrix.mtx.gz,JB19010,GSM4029948,matrix,27652428,BC49DBB3C28A0A2C015D869A8325815A7AD66CF3D51AEB0899528902D2ED0E8F
GSM4029949_JB19011_barcodes.tsv.gz,JB19011,GSM4029949,barcodes,47780,BA1910126AE8DB4F5CC02F35F1CD80447227577F39B52847B76030701211DB72
GSM4029949_JB19011_matrix.mtx.gz,JB19011,GSM4029949,matrix,35822877,2DEB07C813D1E209A2022E7999962526DBA818D66B80EC2284A5985C69339DC7
GSM4029950_JB19013_barcodes.tsv.gz,JB19013,GSM4029950,barcodes,19120,9538EF28C5D502F536EB71790D75BDEA21730F1A19B03371786BF2162C00257E
GSM4029950_JB19013_matrix.mtx.gz,JB19013,GSM4029950,matrix,17078606,0E4F85342E09AEDE0C9F03937375C338F51348FFB61638C5CB330AE8512D3C17
GSM4029951_JB19014_barcodes.tsv.gz,JB19014,GSM4029951,barcodes,16134,614FD2C482ABBC9146DEADFE9B7533B812065558480492761B1FA085525B2C70
GSM4029951_JB19014_matrix.mtx.gz,JB19014,GSM4029951,matrix,15320968,B8901CD38F600D3F6D332A45C28EF82A87E8D1B20707F0D29C638AE7E5AF9B8F
GSM4029952_JB19015_barcodes.tsv.gz,JB19015,GSM4029952,barcodes,25404,B648A6EB03D688A2C77C636DD7097E45B284DA816AE0FBE5FE614C9EE8C4F26C
GSM4029952_JB19015_matrix.mtx.gz,JB19015,GSM4029952,matrix,14946126,3B906742EC1C842E08C9862C7398FFFAFA56F0C1A22BC72EF8E341CD353CCB7B
