pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
231,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC1,257,921696,12087
232,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC2,134,725192,11597
233,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC3,2,7396,1872
234,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC4,102,321118,10080
235,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC5,14,62404,5977
236,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC6,29,94583,7335
237,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC7,22,79085,6792
238,source_label,JB17018,GSM4029915,B_ASC_CONTROL,PC-caSC0,0,0,0
239,source_label,JB17018,GSM4029915,B_ASC_CONTROL,PC-caSC1,4,22067,3947
240,compartment,JB18063,GSM4029916,B_CONV_ANALOG,,755,2296597,15023
241,compartment,JB18063,GSM4029916,B_ASC_CONTROL,,110,858455,12693
242,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC0,8,16873,3764
243,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC1,1,2065,935
244,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC2,33,108928,8573
245,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC3,434,1129702,13591
246,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC4,1,2116,963
247,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC5,265,1003219,13250
248,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC6,11,24937,4743
249,source_label,JB18063,GSM4029916,B_CONV_ANALOG,B-caSC7,2,8757,2260
250,source_label,JB18063,GSM4029916,B_ASC_CONTROL,PC-caSC0,78,637192,12118
251,source_label,JB18063,GSM4029916,B_ASC_CONTROL,PC-caSC1,32,221263,9855
252,compartment,JB18064,GSM4029917,B_CONV_ANALOG,,301,876816,12750
253,compartment,JB18064,GSM4029917,B_ASC_CONTROL,,74,483333,11394
254,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC0,15,33539,5058
255,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC1,1,2175,843
256,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC2,35,117999,8209
257,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC3,143,348746,10747
258,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC4,1,1478,563
259,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC5,86,317864,10518
260,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC6,11,30562,4684
261,source_label,JB18064,GSM4029917,B_CONV_ANALOG,B-caSC7,9,24453,4213
262,source_label,JB18064,GSM4029917,B_ASC_CONTROL,PC-caSC0,35,235129,9847
263,source_label,JB18064,GSM4029917,B_ASC_CONTROL,PC-caSC1,39,248204,9889
264,compartment,JB18065,GSM4029918,B_CONV_ANALOG,,216,681960,12105
265,compartment,JB18065,GSM4029918,B_ASC_CONTROL,,10,92745,7207
266,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC0,38,99100,7424
267,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC1,25,70312,6572
268,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC2,114,415104,10963
269,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC3,1,2827,884
270,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC4,19,45893,5240
271,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC5,4,14316,2888
