sample_id,source_label,frozen_compartment,cell_count,library_size_umi
JB18086,B-caSC4,B_CONV_ANALOG,194,500053
JB18086,B-caSC5,B_CONV_ANALOG,20,69205
JB18086,B-caSC6,B_CONV_ANALOG,65,160995
JB18086,B-caSC7,B_CONV_ANALOG,42,115251
JB18086,PC-caSC0,B_ASC_CONTROL,2,3069
JB18086,PC-caSC1,B_ASC_CONTROL,11,87809
JB18083,B-caSC0,B_CONV_ANALOG,206,523137
JB18083,B-caSC1,B_CONV_ANALOG,138,377170
JB18083,B-caSC2,B_CONV_ANALOG,121,540449
JB18083,B-caSC3,B_CONV_ANALOG,4,11221
JB18083,B-caSC4,B_CONV_ANALOG,98,240725
JB18083,B-caSC5,B_CONV_ANALOG,14,58278
JB18083,B-caSC6,B_CONV_ANALOG,70,182371
JB18083,B-caSC7,B_CONV_ANALOG,71,195957
JB18083,PC-caSC0,B_ASC_CONTROL,0,0
JB18083,PC-caSC1,B_ASC_CONTROL,14,111055
JB18084,B-caSC0,B_CONV_ANALOG,289,703755
JB18084,B-caSC1,B_CONV_ANALOG,100,260579
JB18084,B-caSC2,B_CONV_ANALOG,98,386329
JB18084,B-caSC3,B_CONV_ANALOG,17,43280
JB18084,B-caSC4,B_CONV_ANALOG,149,348733
JB18084,B-caSC5,B_CONV_ANALOG,41,131301
JB18084,B-caSC6,B_CONV_ANALOG,80,189449
JB18084,B-caSC7,B_CONV_ANALOG,75,206903
JB18084,PC-caSC0,B_ASC_CONTROL,0,0
JB18084,PC-caSC1,B_ASC_CONTROL,11,84362
JB19001,B-caSC0,B_CONV_ANALOG,161,407347
JB19001,B-caSC1,B_CONV_ANALOG,11,26337
JB19001,B-caSC2,B_CONV_ANALOG,81,370487
JB19001,B-caSC3,B_CONV_ANALOG,6,17126
JB19001,B-caSC4,B_CONV_ANALOG,18,45054
JB19001,B-caSC5,B_CONV_ANALOG,22,93093
JB19001,B-caSC6,B_CONV_ANALOG,31,75728
JB19001,B-caSC7,B_CONV_ANALOG,8,30126
JB19001,PC-caSC0,B_ASC_CONTROL,1,3703
JB19001,PC-caSC1,B_ASC_CONTROL,11,81302
JB19003,B-caSC0,B_CONV_ANALOG,70,185110
JB19003,B-caSC1,B_CONV_ANALOG,62,173768
JB19003,B-caSC2,B_CONV_ANALOG,155,661188
JB19003,B-caSC3,B_CONV_ANALOG,2,4733
JB19003,B-caSC4,B_CONV_ANALOG,56,149811
JB19003,B-caSC5,B_CONV_ANALOG,24,105700
JB19003,B-caSC6,B_CONV_ANALOG,27,67878
JB19003,B-caSC7,B_CONV_ANALOG,8,21576
JB19003,PC-caSC0,B_ASC_CONTROL,0,0
JB19003,PC-caSC1,B_ASC_CONTROL,0,0
JB19004,B-caSC0,B_CONV_ANALOG,16,63445
JB19004,B-caSC1,B_CONV_ANALOG,4,20721
JB19004,B-caSC2,B_CONV_ANALOG,6,32387
JB19004,B-caSC3,B_CONV_ANALOG,15,59617
JB19004,B-caSC4,B_CONV_ANALOG,4,14889
JB19004,B-caSC5,B_CONV_ANALOG,16,85364
JB19004,B-caSC6,B_CONV_ANALOG,2,6761
JB19004,B-caSC7,B_CONV_ANALOG,1,3535
JB19004,PC-caSC0,B_ASC_CONTROL,5,37018
JB19004,PC-caSC1,B_ASC_CONTROL,2,17951
JB19006,B-caSC0,B_CONV_ANALOG,4,14522
JB19006,B-caSC1,B_CONV_ANALOG,0,0
JB19006,B-caSC2,B_CONV_ANALOG,23,88489
JB19006,B-caSC3,B_CONV_ANALOG,8,25495
JB19006,B-caSC4,B_CONV_ANALOG,0,0
JB19006,B-caSC5,B_CONV_ANALOG,17,80411
