contrast,regulator,deleted_target,slope,same_direction_as_full
gse135779_childhood,STAT1,DDX50,1.154015849837639,True
gse135779_childhood,STAT1,DIMT1,1.1498500284645086,True
gse135779_childhood,STAT1,EDEM2,1.1369540985082236,True
gse135779_childhood,STAT1,EIF2AK2,1.110459433822806,True
gse135779_childhood,STAT1,ELP3,1.1485179332165867,True
gse135779_childhood,STAT1,FAS,1.1185259113531556,True
gse135779_childhood,STAT1,FCGRT,1.1533843470406882,True
gse135779_childhood,STAT1,FGL2,1.1221613940052917,True
gse135779_childhood,STAT1,FOS,1.1373669359055856,True
gse135779_childhood,STAT1,FOXO3,1.127219738865744,True
gse135779_childhood,STAT1,GADD45A,1.13383245803759,True
gse135779_childhood,STAT1,GBP1,1.1216631118341687,True
gse135779_childhood,STAT1,GBP2,1.1284282678375757,True
gse135779_childhood,STAT1,GLS,1.1477213891775062,True
gse135779_childhood,STAT1,GPR146,1.1400052038357456,True
gse135779_childhood,STAT1,GSTK1,1.1328211150111749,True
gse135779_childhood,STAT1,HDAC7,1.1430940981549402,True
gse135779_childhood,STAT1,HLA-A,1.1311437244861258,True
gse135779_childhood,STAT1,HLA-E,1.1423643345201173,True
gse135779_childhood,STAT1,HMGB1,1.1551101270347055,True
gse135779_childhood,STAT1,HMOX1,1.1302782356223575,True
gse135779_childhood,STAT1,HSP90AA1,1.1461925906439958,True
gse135779_childhood,STAT1,HSPA4,1.1234999528322345,True
gse135779_childhood,STAT1,HSPB1,1.1236966939552535,True
gse135779_childhood,STAT1,ICAM1,1.1403634406239052,True
gse135779_childhood,STAT1,IFI27,1.1041388616999963,True
gse135779_childhood,STAT1,IFI30,1.142859054670583,True
gse135779_childhood,STAT1,IFI35,1.1183225373862486,True
gse135779_childhood,STAT1,IFI6,1.1126389513261083,True
gse135779_childhood,STAT1,IFIT1,1.1149573941997613,True
gse135779_childhood,STAT1,IFIT2,1.1192661458680766,True
gse135779_childhood,STAT1,IFIT3,1.1153723225371577,True
gse135779_childhood,STAT1,IFITM1,1.114321618666526,True
gse135779_childhood,STAT1,IFNGR1,1.1422317906498283,True
gse135779_childhood,STAT1,IFNLR1,1.1265821646304774,True
gse135779_childhood,STAT1,IGFLR1,1.139174170571584,True
gse135779_childhood,STAT1,IL17RA,1.1471751495172846,True
gse135779_childhood,STAT1,IL2RA,1.1516976980200266,True
gse135779_childhood,STAT1,IL6,1.1332888227295392,True
gse135779_childhood,STAT1,IL6ST,1.1203005218704205,True
gse135779_childhood,STAT1,INO80,1.1568668928336983,True
gse135779_childhood,STAT1,IRF1,1.1463887257400982,True
gse135779_childhood,STAT1,IRF2,1.1521156888908388,True
gse135779_childhood,STAT1,IRF7,1.1166724500872012,True
gse135779_childhood,STAT1,IRF8,1.1311607193764524,True
gse135779_childhood,STAT1,IRF9,1.1210964060703685,True
gse135779_childhood,STAT1,ISG15,1.115274981848551,True
gse135779_childhood,STAT1,ISG20,1.1233077339291295,True
gse135779_childhood,STAT1,ITGB1,1.1536677213562907,True
gse135779_childhood,STAT1,JAK1,1.1606149314994314,True
gse135779_childhood,STAT1,JUN,1.1335554609740408,True
gse135779_childhood,STAT1,KDM6B,1.1450577780749132,True
gse135779_childhood,STAT1,KIF2A,1.1636141843223708,True
gse135779_childhood,STAT1,KLF4,1.1510066379641084,True
gse135779_childhood,STAT1,LAP3,1.120779131107189,True
gse135779_childhood,STAT1,LAT,1.155117043752193,True
gse135779_childhood,STAT1,LGALS3,1.131128668804336,True
gse135779_childhood,STAT1,LONP1,1.144304399804833,True
gse135779_childhood,STAT1,LY96,1.1238534353481582,True
gse135779_childhood,STAT1,MAN1A1,1.1260996942776569,True
gse135779_childhood,STAT1,MAP1LC3B,1.14390030820424,True
gse135779_childhood,STAT1,MAPKAPK2,1.148051707954528,True
gse135779_childhood,STAT1,MCL1,1.1064612262458895,True
gse135779_childhood,STAT1,MDC1,1.1487897349874807,True
gse135779_childhood,STAT1,MDM2,1.1528279345051227,True
gse135779_childhood,STAT1,MED16,1.146338795231129,True
gse135779_childhood,STAT1,MED23,1.149570866843468,True
gse135779_childhood,STAT1,MTMR9,1.1428960717879948,True
gse135779_childhood,STAT1,MVP,1.1292316412794088,True
gse135779_childhood,STAT1,MX1,1.1157099296503001,True
gse135779_childhood,STAT1,MYD88,1.130488494590337,True
gse135779_childhood,STAT1,NCL,1.1513520074792998,True
gse135779_childhood,STAT1,NMI,1.1341775003660797,True
gse135779_childhood,STAT1,NPAT,1.1527036363021674,True
gse135779_childhood,STAT1,OAS1,1.120442864277609,True
gse135779_childhood,STAT1,OSM,1.1252107500782027,True
gse135779_childhood,STAT1,PARK7,1.1485194644434178,True
gse135779_childhood,STAT1,PIK3R1,1.155847389315157,True
gse135779_childhood,STAT1,PIM1,1.1574734780572835,True
gse135779_childhood,STAT1,PLSCR1,1.1138870022108227,True
gse135779_childhood,STAT1,PML,1.1168100165617612,True
gse135779_childhood,STAT1,POMC,1.1408678116804984,True
gse135779_childhood,STAT1,PPIP5K2,1.1450591798080516,True
gse135779_childhood,STAT1,PRF1,1.1478786572224187,True
gse135779_childhood,STAT1,PRKCE,1.144274037387594,True
gse135779_childhood,STAT1,PSMB9,1.1295022331348556,True
gse135779_childhood,STAT1,PTPN6,1.151392393537282,True
gse135779_childhood,STAT1,PWP2,1.1463264657442902,True
gse135779_childhood,STAT1,RB1,1.1489341340614865,True
gse135779_childhood,STAT1,RC3H1,1.1390515655442908,True
gse135779_childhood,STAT1,RHOA,1.1356861661414328,True
gse135779_childhood,STAT1,RUNX3,1.1424095339781748,True
gse135779_childhood,STAT1,S100A10,1.1448488295194705,True
